#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Item_info|condition|item_id|latinsqr_list|unique_id
#T_SP=webanno.custom.Ref_info|PersonalPronouns_detailed|ref_def|ref_function|ref_gender|ref_num
#T_SP=webanno.custom.Segment|complex|segment_type
#T_SP=webanno.custom.Sent_layer|feedback_id|item0_verb|item0_verbtype|openq_id|openq_type|sent_type
#T_SP=webanno.custom.Speaker_meta|age|gender|speaker_id
#T_SP=webanno.custom.Speaker_name|speaker_name
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=webanno.custom.Relations|discourse_rel|speechAct_rel|BT_webanno.custom.Segment


#Text=Na?
10-1	154-159	bekam	GFailure[2]	spenden\_set1\_11[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-spenden\_set1\_11[2]	3	*	*	*	singular	true[46]|false[47]	*[46]|Decl[47]	*[139]	*[139]	*[139]	*[139]	*[139]	input1[139]	46[228]	male[228]	7bq5ecc5fndmatjvd44havavdp[228]	speaker: YOU[317]	*->90-2	zero[90]	result	*	11-1[48_47]	
10-2	160-164	eine	GFailure[2]	spenden\_set1\_11[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-spenden\_set1\_11[2]	*[34]	*[34]	DirObj[34]	*[34]	*[34]	true[46]|false[47]	*[46]|Decl[47]	*[139]	*[139]	*[139]	*[139]	*[139]	input1[139]	46[228]	male[228]	7bq5ecc5fndmatjvd44havavdp[228]	speaker: YOU[317]	*->118-1	IndefNP[118]	_	_	_	
10-3	165-174	Einladung	GFailure[2]	spenden\_set1\_11[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-spenden\_set1\_11[2]	*[34]	*[34]	DirObj[34]	*[34]	*[34]	true[46]|false[47]	*[46]|Decl[47]	*[139]	*[139]	*[139]	*[139]	*[139]	input1[139]	46[228]	male[228]	7bq5ecc5fndmatjvd44havavdp[228]	speaker: YOU[317]	*->118-1	IndefNP[118]	_	_	_	

#Text=und hat gestern Blut gespendet
11-1	176-179	und	GFailure[2]	spenden\_set1\_11[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-spenden\_set1\_11[2]	_	_	_	_	_	true[46]|false[48]	*[46]|Decl[48]	*[140]	*[140]	*[140]	*[140]	*[140]	input2[140]	46[229]	male[229]	7bq5ecc5fndmatjvd44havavdp[229]	speaker: YOU[318]	_	_	_	_	_	
11-2	180-183	hat	GFailure[2]	spenden\_set1\_11[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-spenden\_set1\_11[2]	3	*	*	*	singular	true[46]|false[48]	*[46]|Decl[48]	*[140]	*[140]	*[140]	*[140]	*[140]	input2[140]	46[229]	male[229]	7bq5ecc5fndmatjvd44havavdp[229]	speaker: YOU[318]	*->90-3	zero[90]	_	_	_	
11-3	184-191	gestern	GFailure[2]	spenden\_set1\_11[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-spenden\_set1\_11[2]	_	_	_	_	_	true[46]|false[48]	*[46]|Decl[48]	*[140]	*[140]	*[140]	*[140]	*[140]	input2[140]	46[229]	male[229]	7bq5ecc5fndmatjvd44havavdp[229]	speaker: YOU[318]	_	_	_	_	_	
11-4	192-196	Blut	GFailure[2]	spenden\_set1\_11[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-spenden\_set1\_11[2]	*	*	DirObj	*	*	true[46]|false[48]	*[46]|Decl[48]	*[140]	*[140]	*[140]	*[140]	*[140]	input2[140]	46[229]	male[229]	7bq5ecc5fndmatjvd44havavdp[229]	speaker: YOU[318]	*->53-2	IndefNP[53]	_	_	_	
11-5	197-206	gespendet	GFailure[2]	spenden\_set1\_11[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-spenden\_set1\_11[2]	_	_	_	_	_	true[46]|false[48]	*[46]|Decl[48]	*[140]	*[140]	*[140]	*[140]	*[140]	input2[140]	46[229]	male[229]	7bq5ecc5fndmatjvd44havavdp[229]	speaker: YOU[318]	_	_	_	_	_	

#Text=END_OF_DOCUMENT
12-1	208-223	END_OF_DOCUMENT	GFailure[2]	spenden\_set1\_11[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-spenden\_set1\_11[2]	_	_	_	_	_	_	_	*	*	*	*	*	end	*	*	*	*	_	_	_	_	_	

#Text=Na?
13-1	225-228	Na?	GFailure[3]	spenden\_set1\_11[3]	latin1[3]	9bb79dhfhst017575orahklqol-spenden\_set1\_11[3]	_	_	_	_	_	false	Int	*	*	*	gen\_1	general\_question	openq	*	male	*	speaker:Tony	_	_	QAP	*	14-1[49_0]	

#Text=Clara hat Blut gespendet
14-1	230-235	Clara	GFailure[3]	spenden\_set1\_11[3]	latin1[3]	9bb79dhfhst017575orahklqol-spenden\_set1\_11[3]	*	*	Subj	*	*	false[49]	Decl[49]	*[141]	spenden[141]	transitive[141]	*[141]	*[141]	item0[141]	37[230]	female[230]	9bb79dhfhst017575orahklqol[230]	speaker: YOU[319]	*->62-1|*->86-1	clause[62]|PropNm[86]	elaboration|parallel|CR	*|*|*	16-1[50_49]|17-1[51_49]|15-1[0_49]	
14-2	236-239	hat	GFailure[3]	spenden\_set1\_11[3]	latin1[3]	9bb79dhfhst017575orahklqol-spenden\_set1\_11[3]	_	_	_	_	_	false[49]	Decl[49]	*[141]	spenden[141]	transitive[141]	*[141]	*[141]	item0[141]	37[230]	female[230]	9bb79dhfhst017575orahklqol[230]	speaker: YOU[319]	*->62-1	clause[62]	_	_	_	
14-3	240-244	Blut	GFailure[3]	spenden\_set1\_11[3]	latin1[3]	9bb79dhfhst017575orahklqol-spenden\_set1\_11[3]	*	*	object	*	*	false[49]	Decl[49]	*[141]	spenden[141]	transitive[141]	*[141]	*[141]	item0[141]	37[230]	female[230]	9bb79dhfhst017575orahklqol[230]	speaker: YOU[319]	*->62-1|*->115-1	clause[62]|IndefNP[115]	_	_	_	
14-4	245-254	gespendet	GFailure[3]	spenden\_set1\_11[3]	latin1[3]	9bb79dhfhst017575orahklqol-spenden\_set1\_11[3]	_	_	_	_	_	false[49]	Decl[49]	*[141]	spenden[141]	transitive[141]	*[141]	*[141]	item0[141]	37[230]	female[230]	9bb79dhfhst017575orahklqol[230]	speaker: YOU[319]	*->62-1	clause[62]	_	_	_	

#Text=Was?
15-1	256-260	Was?	GFailure[3]	spenden\_set1\_11[3]	latin1[3]	9bb79dhfhst017575orahklqol-spenden\_set1\_11[3]	_	_	_	_	_	false	NA	was\_question\_3	*	*	*	*	feedback	*	male	*	speaker:Tony	_	_	_	_	_	

#Text=war das erste mal
16-1	262-265	war	GFailure[3]	spenden\_set1\_11[3]	latin1[3]	9bb79dhfhst017575orahklqol-spenden\_set1\_11[3]	3	*	*	*	singular	false[50]	Decl[50]	*[142]	*[142]	*[142]	*[142]	*[142]	input1[142]	37[231]	female[231]	9bb79dhfhst017575orahklqol[231]	speaker: YOU[320]	*->62-2	zero[62]	_	_	_	
16-2	266-269	das	GFailure[3]	spenden\_set1\_11[3]	latin1[3]	9bb79dhfhst017575orahklqol-spenden\_set1\_11[3]	*	*	DirObj	*	*	false[50]	Decl[50]	*[142]	*[142]	*[142]	*[142]	*[142]	input1[142]	37[231]	female[231]	9bb79dhfhst017575orahklqol[231]	speaker: YOU[320]	_	_	_	_	_	
16-3	270-275	erste	GFailure[3]	spenden\_set1\_11[3]	latin1[3]	9bb79dhfhst017575orahklqol-spenden\_set1\_11[3]	_	_	_	_	_	false[50]	Decl[50]	*[142]	*[142]	*[142]	*[142]	*[142]	input1[142]	37[231]	female[231]	9bb79dhfhst017575orahklqol[231]	speaker: YOU[320]	_	_	_	_	_	
16-4	276-279	mal	GFailure[3]	spenden\_set1\_11[3]	latin1[3]	9bb79dhfhst017575orahklqol-spenden\_set1\_11[3]	_	_	_	_	_	false[50]	Decl[50]	*[142]	*[142]	*[142]	*[142]	*[142]	input1[142]	37[231]	female[231]	9bb79dhfhst017575orahklqol[231]	speaker: YOU[320]	_	_	_	_	_	

#Text=sie will noch mal spenden gehen
17-1	281-284	sie	GFailure[3]	spenden\_set1\_11[3]	latin1[3]	9bb79dhfhst017575orahklqol-spenden\_set1\_11[3]	3	*	Subj	*	singular	false[51]	Decl[51]	*[143]	*[143]	*[143]	*[143]	*[143]	input2[143]	37[232]	female[232]	9bb79dhfhst017575orahklqol[232]	speaker: YOU[321]	*->86-2	PerPron[86]	_	_	_	
17-2	285-289	will	GFailure[3]	spenden\_set1\_11[3]	latin1[3]	9bb79dhfhst017575orahklqol-spenden\_set1\_11[3]	_	_	_	_	_	false[51]	Decl[51]	*[143]	*[143]	*[143]	*[143]	*[143]	input2[143]	37[232]	female[232]	9bb79dhfhst017575orahklqol[232]	speaker: YOU[321]	_	_	_	_	_	
17-3	290-294	noch	GFailure[3]	spenden\_set1\_11[3]	latin1[3]	9bb79dhfhst017575orahklqol-spenden\_set1\_11[3]	_	_	_	_	_	false[51]	Decl[51]	*[143]	*[143]	*[143]	*[143]	*[143]	input2[143]	37[232]	female[232]	9bb79dhfhst017575orahklqol[232]	speaker: YOU[321]	_	_	_	_	_	
17-4	295-298	mal	GFailure[3]	spenden\_set1\_11[3]	latin1[3]	9bb79dhfhst017575orahklqol-spenden\_set1\_11[3]	_	_	_	_	_	false[51]	Decl[51]	*[143]	*[143]	*[143]	*[143]	*[143]	input2[143]	37[232]	female[232]	9bb79dhfhst017575orahklqol[232]	speaker: YOU[321]	_	_	_	_	_	
17-5	299-306	spenden	GFailure[3]	spenden\_set1\_11[3]	latin1[3]	9bb79dhfhst017575orahklqol-spenden\_set1\_11[3]	_	_	_	_	_	false[51]	Decl[51]	*[143]	*[143]	*[143]	*[143]	*[143]	input2[143]	37[232]	female[232]	9bb79dhfhst017575orahklqol[232]	speaker: YOU[321]	_	_	_	_	_	
17-6	307-312	gehen	GFailure[3]	spenden\_set1\_11[3]	latin1[3]	9bb79dhfhst017575orahklqol-spenden\_set1\_11[3]	_	_	_	_	_	false[51]	Decl[51]	*[143]	*[143]	*[143]	*[143]	*[143]	input2[143]	37[232]	female[232]	9bb79dhfhst017575orahklqol[232]	speaker: YOU[321]	_	_	_	_	_	

#Text=END_OF_DOCUMENT
18-1	314-329	END_OF_DOCUMENT	GFailure[3]	spenden\_set1\_11[3]	latin1[3]	9bb79dhfhst017575orahklqol-spenden\_set1\_11[3]	_	_	_	_	_	_	_	*	*	*	*	*	end	*	*	*	*	_	_	_	_	_	

#Text=Na?
19-1	331-334	Na?	GFailure[4]	spenden\_set1\_11[4]	latin1[4]	afpst3sherp4732c4se5ajftkq-spenden\_set1\_11[4]	_	_	_	_	_	false	Int	*	*	*	gen\_1	general\_question	openq	*	male	*	speaker:Tony	_	_	QAP	*	20-1[52_0]	

#Text=Clara hat Blut gespendet
20-1	336-341	Clara	GFailure[4]	spenden\_set1\_11[4]	latin1[4]	afpst3sherp4732c4se5ajftkq-spenden\_set1\_11[4]	*	*	Subj	*	*	false[52]	Decl[52]	*[144]	spenden[144]	transitive[144]	*[144]	*[144]	item0[144]	21[233]	male[233]	afpst3sherp4732c4se5ajftkq[233]	speaker: YOU[322]	*->2-1	PropNm[2]	elaboration|CR	*|*	22-1[0_52]|21-1[0_52]	
20-2	342-345	hat	GFailure[4]	spenden\_set1\_11[4]	latin1[4]	afpst3sherp4732c4se5ajftkq-spenden\_set1\_11[4]	_	_	_	_	_	false[52]	Decl[52]	*[144]	spenden[144]	transitive[144]	*[144]	*[144]	item0[144]	21[233]	male[233]	afpst3sherp4732c4se5ajftkq[233]	speaker: YOU[322]	_	_	_	_	_	
20-3	346-350	Blut	GFailure[4]	spenden\_set1\_11[4]	latin1[4]	afpst3sherp4732c4se5ajftkq-spenden\_set1\_11[4]	*	*	object	*	*	false[52]	Decl[52]	*[144]	spenden[144]	transitive[144]	*[144]	*[144]	item0[144]	21[233]	male[233]	afpst3sherp4732c4se5ajftkq[233]	speaker: YOU[322]	*->94-1	IndefNP[94]	_	_	_	
20-4	351-360	gespendet	GFailure[4]	spenden\_set1\_11[4]	latin1[4]	afpst3sherp4732c4se5ajftkq-spenden\_set1\_11[4]	_	_	_	_	_	false[52]	Decl[52]	*[144]	spenden[144]	transitive[144]	*[144]	*[144]	item0[144]	21[233]	male[233]	afpst3sherp4732c4se5ajftkq[233]	speaker: YOU[322]	_	_	_	_	_	

#Text=Was?
21-1	362-366	Was?	GFailure[4]	spenden\_set1\_11[4]	latin1[4]	afpst3sherp4732c4se5ajftkq-spenden\_set1\_11[4]	_	_	_	_	_	false	NA	was\_question\_3	*	*	*	*	feedback	*	male	*	speaker:Tony	_	_	_	_	_	

#Text=Ja <BR> Sie wollte unbedingt ihr Blut abgeben.
22-1	368-370	Ja	GFailure[4]	spenden\_set1\_11[4]	latin1[4]	afpst3sherp4732c4se5ajftkq-spenden\_set1\_11[4]	_	_	_	_	_	false	NA	*[145]	*[145]	*[145]	*[145]	*[145]	input1[145]	21[234]	male[234]	afpst3sherp4732c4se5ajftkq[234]	speaker: YOU[323]	_	_	explanation	*	22-3[53_0]	
22-2	371-375	<BR>	GFailure[4]	spenden\_set1\_11[4]	latin1[4]	afpst3sherp4732c4se5ajftkq-spenden\_set1\_11[4]	_	_	_	_	_	_	_	*[145]	*[145]	*[145]	*[145]	*[145]	input1[145]	21[234]	male[234]	afpst3sherp4732c4se5ajftkq[234]	speaker: YOU[323]	_	_	_	_	_	
22-3	376-379	Sie	GFailure[4]	spenden\_set1\_11[4]	latin1[4]	afpst3sherp4732c4se5ajftkq-spenden\_set1\_11[4]	3	*	Subj	*	singular	false[53]	Decl[53]	*[145]	*[145]	*[145]	*[145]	*[145]	input1[145]	21[234]	male[234]	afpst3sherp4732c4se5ajftkq[234]	speaker: YOU[323]	*->2-2	PerPron[2]	explanation	*	23-1[54_53]	
22-4	380-386	wollte	GFailure[4]	spenden\_set1\_11[4]	latin1[4]	afpst3sherp4732c4se5ajftkq-spenden\_set1\_11[4]	_	_	_	_	_	false[53]	Decl[53]	*[145]	*[145]	*[145]	*[145]	*[145]	input1[145]	21[234]	male[234]	afpst3sherp4732c4se5ajftkq[234]	speaker: YOU[323]	_	_	_	_	_	
22-5	387-396	unbedingt	GFailure[4]	spenden\_set1\_11[4]	latin1[4]	afpst3sherp4732c4se5ajftkq-spenden\_set1\_11[4]	_	_	_	_	_	false[53]	Decl[53]	*[145]	*[145]	*[145]	*[145]	*[145]	input1[145]	21[234]	male[234]	afpst3sherp4732c4se5ajftkq[234]	speaker: YOU[323]	_	_	_	_	_	
22-6	397-400	ihr	GFailure[4]	spenden\_set1\_11[4]	latin1[4]	afpst3sherp4732c4se5ajftkq-spenden\_set1\_11[4]	*[35]|3[36]	*[35]|*[36]	DirObj[35]|*[36]	*[35]|*[36]	*[35]|singular[36]	false[53]	Decl[53]	*[145]	*[145]	*[145]	*[145]	*[145]	input1[145]	21[234]	male[234]	afpst3sherp4732c4se5ajftkq[234]	speaker: YOU[323]	*->94-2|*->2-3	DefNP[94]|PossePron[2]	_	_	_	
22-7	401-405	Blut	GFailure[4]	spenden\_set1\_11[4]	latin1[4]	afpst3sherp4732c4se5ajftkq-spenden\_set1\_11[4]	*[35]	*[35]	DirObj[35]	*[35]	*[35]	false[53]	Decl[53]	*[145]	*[145]	*[145]	*[145]	*[145]	input1[145]	21[234]	male[234]	afpst3sherp4732c4se5ajftkq[234]	speaker: YOU[323]	*->94-2	DefNP[94]	_	_	_	
22-8	406-414	abgeben.	GFailure[4]	spenden\_set1\_11[4]	latin1[4]	afpst3sherp4732c4se5ajftkq-spenden\_set1\_11[4]	_	_	_	_	_	false[53]	Decl[53]	*[145]	*[145]	*[145]	*[145]	*[145]	input1[145]	21[234]	male[234]	afpst3sherp4732c4se5ajftkq[234]	speaker: YOU[323]	_	_	_	_	_	

#Text=Sie ist ja Universalspenderin.
23-1	416-419	Sie	GFailure[4]	spenden\_set1\_11[4]	latin1[4]	afpst3sherp4732c4se5ajftkq-spenden\_set1\_11[4]	3	*	*	*	singular	false[54]	Decl[54]	*[146]	*[146]	*[146]	*[146]	*[146]	input2[146]	21[235]	male[235]	afpst3sherp4732c4se5ajftkq[235]	speaker: YOU[324]	*->2-4	PerPron[2]	_	_	_	
23-2	420-423	ist	GFailure[4]	spenden\_set1\_11[4]	latin1[4]	afpst3sherp4732c4se5ajftkq-spenden\_set1\_11[4]	_	_	_	_	_	false[54]	Decl[54]	*[146]	*[146]	*[146]	*[146]	*[146]	input2[146]	21[235]	male[235]	afpst3sherp4732c4se5ajftkq[235]	speaker: YOU[324]	_	_	_	_	_	
23-3	424-426	ja	GFailure[4]	spenden\_set1\_11[4]	latin1[4]	afpst3sherp4732c4se5ajftkq-spenden\_set1\_11[4]	_	_	_	_	_	false[54]	Decl[54]	*[146]	*[146]	*[146]	*[146]	*[146]	input2[146]	21[235]	male[235]	afpst3sherp4732c4se5ajftkq[235]	speaker: YOU[324]	_	_	_	_	_	
23-4	427-446	Universalspenderin.	GFailure[4]	spenden\_set1\_11[4]	latin1[4]	afpst3sherp4732c4se5ajftkq-spenden\_set1\_11[4]	_	_	_	_	_	false[54]	Decl[54]	*[146]	*[146]	*[146]	*[146]	*[146]	input2[146]	21[235]	male[235]	afpst3sherp4732c4se5ajftkq[235]	speaker: YOU[324]	_	_	_	_	_	

#Text=END_OF_DOCUMENT
24-1	448-463	END_OF_DOCUMENT	GFailure[4]	spenden\_set1\_11[4]	latin1[4]	afpst3sherp4732c4se5ajftkq-spenden\_set1\_11[4]	_	_	_	_	_	_	_	*	*	*	*	*	end	*	*	*	*	_	_	_	_	_	

#Text=Na?
25-1	465-468	Na?	GFailure[5]	spenden\_set1\_11[5]	latin1[5]	blj8i1h4sc8jti0m6gcav1c9ek-spenden\_set1\_11[5]	_	_	_	_	_	false	Int	*	*	*	gen\_1	general\_question	openq	*	male	*	speaker:Tony	_	_	QAP	*	26-1[55_0]	

