#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Item_info|condition|item_id|latinsqr_list|unique_id
#T_SP=webanno.custom.Ref_info|PersonalPronouns_detailed|ref_def|ref_function|ref_gender|ref_num
#T_SP=webanno.custom.Segment|complex|segment_type
#T_SP=webanno.custom.Sent_layer|feedback_id|item0_verb|item0_verbtype|openq_id|openq_type|sent_type
#T_SP=webanno.custom.Speaker_meta|age|gender|speaker_id
#T_SP=webanno.custom.Speaker_name|speaker_name
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=webanno.custom.Relations|discourse_rel|speechAct_rel|BT_webanno.custom.Segment


#Text=Na?
3-1	33-36	Hm?	GFailure[1]	putzen\_set1\_1[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-putzen\_set1\_1[1]	_	_	_	_	_	false	NA	hm\_question\_4	*	*	*	*	feedback	*	female	*	speaker:Alexandra	_	_	_	_	_	

#Text=Ich musste nichts mehr machen als ich zu Hause ankam.
4-1	38-41	Ich	GFailure[1]	putzen\_set1\_1[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-putzen\_set1\_1[1]	1	*	Subj	*	singular	false[82]	Decl[82]	*[173]	*[173]	*[173]	*[173]	*[173]	input1[173]	18[258]	female[258]	0ncaea7aqlpc7oe43khd21qn11[258]	speaker: YOU[343]	*->70-1	PerPron[70]	_	_	_	
4-2	42-48	musste	GFailure[1]	putzen\_set1\_1[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-putzen\_set1\_1[1]	_	_	_	_	_	false[82]	Decl[82]	*[173]	*[173]	*[173]	*[173]	*[173]	input1[173]	18[258]	female[258]	0ncaea7aqlpc7oe43khd21qn11[258]	speaker: YOU[343]	_	_	_	_	_	
4-3	49-55	nichts	GFailure[1]	putzen\_set1\_1[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-putzen\_set1\_1[1]	_	_	_	_	_	false[82]	Decl[82]	*[173]	*[173]	*[173]	*[173]	*[173]	input1[173]	18[258]	female[258]	0ncaea7aqlpc7oe43khd21qn11[258]	speaker: YOU[343]	_	_	_	_	_	
4-4	56-60	mehr	GFailure[1]	putzen\_set1\_1[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-putzen\_set1\_1[1]	_	_	_	_	_	false[82]	Decl[82]	*[173]	*[173]	*[173]	*[173]	*[173]	input1[173]	18[258]	female[258]	0ncaea7aqlpc7oe43khd21qn11[258]	speaker: YOU[343]	_	_	_	_	_	
4-5	61-67	machen	GFailure[1]	putzen\_set1\_1[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-putzen\_set1\_1[1]	_	_	_	_	_	false[82]	Decl[82]	*[173]	*[173]	*[173]	*[173]	*[173]	input1[173]	18[258]	female[258]	0ncaea7aqlpc7oe43khd21qn11[258]	speaker: YOU[343]	_	_	_	_	_	
4-6	68-71	als	GFailure[1]	putzen\_set1\_1[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-putzen\_set1\_1[1]	_	_	_	_	_	false[82]	Decl[82]	*[173]	*[173]	*[173]	*[173]	*[173]	input1[173]	18[258]	female[258]	0ncaea7aqlpc7oe43khd21qn11[258]	speaker: YOU[343]	_	_	_	_	_	
4-7	72-75	ich	GFailure[1]	putzen\_set1\_1[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-putzen\_set1\_1[1]	1	*	Subj	*	singular	false[82]	Decl[82]	*[173]	*[173]	*[173]	*[173]	*[173]	input1[173]	18[258]	female[258]	0ncaea7aqlpc7oe43khd21qn11[258]	speaker: YOU[343]	*->70-2	PerPron[70]	_	_	_	
4-8	76-78	zu	GFailure[1]	putzen\_set1\_1[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-putzen\_set1\_1[1]	_	_	_	_	_	false[82]	Decl[82]	*[173]	*[173]	*[173]	*[173]	*[173]	input1[173]	18[258]	female[258]	0ncaea7aqlpc7oe43khd21qn11[258]	speaker: YOU[343]	_	_	_	_	_	
4-9	79-84	Hause	GFailure[1]	putzen\_set1\_1[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-putzen\_set1\_1[1]	*	*	PrepObj	*	*	false[82]	Decl[82]	*[173]	*[173]	*[173]	*[173]	*[173]	input1[173]	18[258]	female[258]	0ncaea7aqlpc7oe43khd21qn11[258]	speaker: YOU[343]	*->47-1	IndefNP[47]	_	_	_	
4-10	85-91	ankam.	GFailure[1]	putzen\_set1\_1[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-putzen\_set1\_1[1]	_	_	_	_	_	false[82]	Decl[82]	*[173]	*[173]	*[173]	*[173]	*[173]	input1[173]	18[258]	female[258]	0ncaea7aqlpc7oe43khd21qn11[258]	speaker: YOU[343]	_	_	_	_	_	

#Text=Willst du vorbei kommen?
5-1	93-99	Willst	GFailure[1]	putzen\_set1\_1[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-putzen\_set1\_1[1]	_	_	_	_	_	false[83]	Int[83]	*[174]	*[174]	*[174]	*[174]	*[174]	input2[174]	18[259]	female[259]	0ncaea7aqlpc7oe43khd21qn11[259]	speaker: YOU[344]	_	_	_	_	_	
5-2	100-102	du	GFailure[1]	putzen\_set1\_1[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-putzen\_set1\_1[1]	2	*	Subj	*	singular	false[83]	Int[83]	*[174]	*[174]	*[174]	*[174]	*[174]	input2[174]	18[259]	female[259]	0ncaea7aqlpc7oe43khd21qn11[259]	speaker: YOU[344]	*->13-1	PerPron[13]	_	_	_	
5-3	103-109	vorbei	GFailure[1]	putzen\_set1\_1[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-putzen\_set1\_1[1]	_	_	_	_	_	false[83]	Int[83]	*[174]	*[174]	*[174]	*[174]	*[174]	input2[174]	18[259]	female[259]	0ncaea7aqlpc7oe43khd21qn11[259]	speaker: YOU[344]	_	_	_	_	_	
5-4	110-117	kommen?	GFailure[1]	putzen\_set1\_1[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-putzen\_set1\_1[1]	_	_	_	_	_	false[83]	Int[83]	*[174]	*[174]	*[174]	*[174]	*[174]	input2[174]	18[259]	female[259]	0ncaea7aqlpc7oe43khd21qn11[259]	speaker: YOU[344]	_	_	_	_	_	

#Text=END_OF_DOCUMENT
6-1	119-134	END_OF_DOCUMENT	GFailure[1]	putzen\_set1\_1[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-putzen\_set1\_1[1]	_	_	_	_	_	_	_	*	*	*	*	*	end	*	*	*	*	_	_	_	_	_	

#Text=Na?
7-1	136-139	Na?	GFailure[2]	putzen\_set1\_1[2]	latin3[2]	19gm0uv9ca6mcngf99lirno94a-putzen\_set1\_1[2]	_	_	_	_	_	false	Int	*	*	*	gen\_1	general\_question	openq	*	female	*	speaker:Alexandra	_	_	QAP	*	8-1[84_0]	

#Text=Lena hat die Küche geputzt
8-1	141-145	Lena	GFailure[2]	putzen\_set1\_1[2]	latin3[2]	19gm0uv9ca6mcngf99lirno94a-putzen\_set1\_1[2]	*	*	Subj	*	*	false[84]	Decl[84]	*[175]	putzen[175]	transitive[175]	*[175]	*[175]	item0[175]	36[260]	male[260]	19gm0uv9ca6mcngf99lirno94a[260]	speaker: YOU[345]	*->112-1	PropNm[112]	explanation|CR	*|*	10-1[85_84]|9-1[0_84]	
8-2	146-149	hat	GFailure[2]	putzen\_set1\_1[2]	latin3[2]	19gm0uv9ca6mcngf99lirno94a-putzen\_set1\_1[2]	_	_	_	_	_	false[84]	Decl[84]	*[175]	putzen[175]	transitive[175]	*[175]	*[175]	item0[175]	36[260]	male[260]	19gm0uv9ca6mcngf99lirno94a[260]	speaker: YOU[345]	_	_	_	_	_	
8-3	150-153	die	GFailure[2]	putzen\_set1\_1[2]	latin3[2]	19gm0uv9ca6mcngf99lirno94a-putzen\_set1\_1[2]	*[32]	*[32]	object[32]	*[32]	*[32]	false[84]	Decl[84]	*[175]	putzen[175]	transitive[175]	*[175]	*[175]	item0[175]	36[260]	male[260]	19gm0uv9ca6mcngf99lirno94a[260]	speaker: YOU[345]	*->6-1	DefNP[6]	_	_	_	
8-4	154-159	Küche	GFailure[2]	putzen\_set1\_1[2]	latin3[2]	19gm0uv9ca6mcngf99lirno94a-putzen\_set1\_1[2]	*[32]	*[32]	object[32]	*[32]	*[32]	false[84]	Decl[84]	*[175]	putzen[175]	transitive[175]	*[175]	*[175]	item0[175]	36[260]	male[260]	19gm0uv9ca6mcngf99lirno94a[260]	speaker: YOU[345]	*->6-1	DefNP[6]	_	_	_	
8-5	160-167	geputzt	GFailure[2]	putzen\_set1\_1[2]	latin3[2]	19gm0uv9ca6mcngf99lirno94a-putzen\_set1\_1[2]	_	_	_	_	_	false[84]	Decl[84]	*[175]	putzen[175]	transitive[175]	*[175]	*[175]	item0[175]	36[260]	male[260]	19gm0uv9ca6mcngf99lirno94a[260]	speaker: YOU[345]	_	_	_	_	_	

#Text=Hm?
9-1	169-172	Hm?	GFailure[2]	putzen\_set1\_1[2]	latin3[2]	19gm0uv9ca6mcngf99lirno94a-putzen\_set1\_1[2]	_	_	_	_	_	false	NA	hm\_question\_4	*	*	*	*	feedback	*	female	*	speaker:Alexandra	_	_	_	_	_	

#Text=Sie hat versucht einen Kuchen zu backen...
10-1	174-177	Sie	GFailure[2]	putzen\_set1\_1[2]	latin3[2]	19gm0uv9ca6mcngf99lirno94a-putzen\_set1\_1[2]	3	*	Subj	*	singular	true[85]|false[86]	Decl[85]|Decl[86]	*[176]	*[176]	*[176]	*[176]	*[176]	input1[176]	36[261]	male[261]	19gm0uv9ca6mcngf99lirno94a[261]	speaker: YOU[346]	*->41-1|*->112-2	clause[41]|PerPron[112]	result	*	11-1[87_86]	
10-2	178-181	hat	GFailure[2]	putzen\_set1\_1[2]	latin3[2]	19gm0uv9ca6mcngf99lirno94a-putzen\_set1\_1[2]	_	_	_	_	_	true[85]|false[86]	Decl[85]|Decl[86]	*[176]	*[176]	*[176]	*[176]	*[176]	input1[176]	36[261]	male[261]	19gm0uv9ca6mcngf99lirno94a[261]	speaker: YOU[346]	*->41-1	clause[41]	_	_	_	
10-3	182-190	versucht	GFailure[2]	putzen\_set1\_1[2]	latin3[2]	19gm0uv9ca6mcngf99lirno94a-putzen\_set1\_1[2]	_	_	_	_	_	true[85]|false[86]	Decl[85]|Decl[86]	*[176]	*[176]	*[176]	*[176]	*[176]	input1[176]	36[261]	male[261]	19gm0uv9ca6mcngf99lirno94a[261]	speaker: YOU[346]	*->41-1	clause[41]	_	_	_	
10-4	191-196	einen	GFailure[2]	putzen\_set1\_1[2]	latin3[2]	19gm0uv9ca6mcngf99lirno94a-putzen\_set1\_1[2]	*[33]	*[33]	*[33]	*[33]	*[33]	true[85]|false[86]	Decl[85]|Decl[86]	*[176]	*[176]	*[176]	*[176]	*[176]	input1[176]	36[261]	male[261]	19gm0uv9ca6mcngf99lirno94a[261]	speaker: YOU[346]	*->41-1	clause[41]	_	_	_	
10-5	197-203	Kuchen	GFailure[2]	putzen\_set1\_1[2]	latin3[2]	19gm0uv9ca6mcngf99lirno94a-putzen\_set1\_1[2]	*[33]	*[33]	*[33]	*[33]	*[33]	true[85]|false[86]	Decl[85]|Decl[86]	*[176]	*[176]	*[176]	*[176]	*[176]	input1[176]	36[261]	male[261]	19gm0uv9ca6mcngf99lirno94a[261]	speaker: YOU[346]	*->41-1	clause[41]	_	_	_	
10-6	204-206	zu	GFailure[2]	putzen\_set1\_1[2]	latin3[2]	19gm0uv9ca6mcngf99lirno94a-putzen\_set1\_1[2]	_	_	_	_	_	true[85]|false[86]	Decl[85]|Decl[86]	*[176]	*[176]	*[176]	*[176]	*[176]	input1[176]	36[261]	male[261]	19gm0uv9ca6mcngf99lirno94a[261]	speaker: YOU[346]	*->41-1	clause[41]	_	_	_	
10-7	207-216	backen...	GFailure[2]	putzen\_set1\_1[2]	latin3[2]	19gm0uv9ca6mcngf99lirno94a-putzen\_set1\_1[2]	_	_	_	_	_	true[85]|false[86]	Decl[85]|Decl[86]	*[176]	*[176]	*[176]	*[176]	*[176]	input1[176]	36[261]	male[261]	19gm0uv9ca6mcngf99lirno94a[261]	speaker: YOU[346]	*->41-1	clause[41]	_	_	_	

#Text=Danach sah die Küche aus wie ein Schlachtfeld
11-1	218-224	Danach	GFailure[2]	putzen\_set1\_1[2]	latin3[2]	19gm0uv9ca6mcngf99lirno94a-putzen\_set1\_1[2]	_	_	_	_	_	true[85]|false[87]	Decl[85]|Decl[87]	*[177]	*[177]	*[177]	*[177]	*[177]	input2[177]	36[262]	male[262]	19gm0uv9ca6mcngf99lirno94a[262]	speaker: YOU[347]	*->41-2	D-Pron[41]	_	_	_	
11-2	225-228	sah	GFailure[2]	putzen\_set1\_1[2]	latin3[2]	19gm0uv9ca6mcngf99lirno94a-putzen\_set1\_1[2]	_	_	_	_	_	true[85]|false[87]	Decl[85]|Decl[87]	*[177]	*[177]	*[177]	*[177]	*[177]	input2[177]	36[262]	male[262]	19gm0uv9ca6mcngf99lirno94a[262]	speaker: YOU[347]	_	_	_	_	_	
11-3	229-232	die	GFailure[2]	putzen\_set1\_1[2]	latin3[2]	19gm0uv9ca6mcngf99lirno94a-putzen\_set1\_1[2]	*[34]	*[34]	Subj[34]	*[34]	*[34]	true[85]|false[87]	Decl[85]|Decl[87]	*[177]	*[177]	*[177]	*[177]	*[177]	input2[177]	36[262]	male[262]	19gm0uv9ca6mcngf99lirno94a[262]	speaker: YOU[347]	*->6-2	DefNP[6]	_	_	_	
11-4	233-238	Küche	GFailure[2]	putzen\_set1\_1[2]	latin3[2]	19gm0uv9ca6mcngf99lirno94a-putzen\_set1\_1[2]	*[34]	*[34]	Subj[34]	*[34]	*[34]	true[85]|false[87]	Decl[85]|Decl[87]	*[177]	*[177]	*[177]	*[177]	*[177]	input2[177]	36[262]	male[262]	19gm0uv9ca6mcngf99lirno94a[262]	speaker: YOU[347]	*->6-2	DefNP[6]	_	_	_	
11-5	239-242	aus	GFailure[2]	putzen\_set1\_1[2]	latin3[2]	19gm0uv9ca6mcngf99lirno94a-putzen\_set1\_1[2]	_	_	_	_	_	true[85]|false[87]	Decl[85]|Decl[87]	*[177]	*[177]	*[177]	*[177]	*[177]	input2[177]	36[262]	male[262]	19gm0uv9ca6mcngf99lirno94a[262]	speaker: YOU[347]	_	_	_	_	_	
11-6	243-246	wie	GFailure[2]	putzen\_set1\_1[2]	latin3[2]	19gm0uv9ca6mcngf99lirno94a-putzen\_set1\_1[2]	_	_	_	_	_	true[85]|false[87]	Decl[85]|Decl[87]	*[177]	*[177]	*[177]	*[177]	*[177]	input2[177]	36[262]	male[262]	19gm0uv9ca6mcngf99lirno94a[262]	speaker: YOU[347]	_	_	_	_	_	
11-7	247-250	ein	GFailure[2]	putzen\_set1\_1[2]	latin3[2]	19gm0uv9ca6mcngf99lirno94a-putzen\_set1\_1[2]	*[35]	*[35]	DirObj[35]	*[35]	*[35]	true[85]|false[87]	Decl[85]|Decl[87]	*[177]	*[177]	*[177]	*[177]	*[177]	input2[177]	36[262]	male[262]	19gm0uv9ca6mcngf99lirno94a[262]	speaker: YOU[347]	_	_	_	_	_	
11-8	251-263	Schlachtfeld	GFailure[2]	putzen\_set1\_1[2]	latin3[2]	19gm0uv9ca6mcngf99lirno94a-putzen\_set1\_1[2]	*[35]	*[35]	DirObj[35]	*[35]	*[35]	true[85]|false[87]	Decl[85]|Decl[87]	*[177]	*[177]	*[177]	*[177]	*[177]	input2[177]	36[262]	male[262]	19gm0uv9ca6mcngf99lirno94a[262]	speaker: YOU[347]	_	_	_	_	_	

#Text=END_OF_DOCUMENT
12-1	265-280	END_OF_DOCUMENT	GFailure[2]	putzen\_set1\_1[2]	latin3[2]	19gm0uv9ca6mcngf99lirno94a-putzen\_set1\_1[2]	_	_	_	_	_	_	_	*	*	*	*	*	end	*	*	*	*	_	_	_	_	_	

#Text=Na?
13-1	282-285	Na?	GFailure[3]	putzen\_set1\_1[3]	latin3[3]	4qae3ph27q5gbjcsrgnltv8qld-putzen\_set1\_1[3]	_	_	_	_	_	false	Int	*	*	*	gen\_1	general\_question	openq	*	female	*	speaker:Alexandra	_	_	QAP	*	14-1[88_0]	

#Text=Lena hat die Küche geputzt
14-1	287-291	Lena	GFailure[3]	putzen\_set1\_1[3]	latin3[3]	4qae3ph27q5gbjcsrgnltv8qld-putzen\_set1\_1[3]	*	*	Subj	*	*	false[88]	Decl[88]	*[178]	putzen[178]	transitive[178]	*[178]	*[178]	item0[178]	18[263]	female[263]	4qae3ph27q5gbjcsrgnltv8qld[263]	speaker: YOU[348]	*->105-1	PropNm[105]	explanation|CR	*|*	16-1[89_88]|15-1[0_88]	
14-2	292-295	hat	GFailure[3]	putzen\_set1\_1[3]	latin3[3]	4qae3ph27q5gbjcsrgnltv8qld-putzen\_set1\_1[3]	_	_	_	_	_	false[88]	Decl[88]	*[178]	putzen[178]	transitive[178]	*[178]	*[178]	item0[178]	18[263]	female[263]	4qae3ph27q5gbjcsrgnltv8qld[263]	speaker: YOU[348]	_	_	_	_	_	
14-3	296-299	die	GFailure[3]	putzen\_set1\_1[3]	latin3[3]	4qae3ph27q5gbjcsrgnltv8qld-putzen\_set1\_1[3]	*[36]	*[36]	object[36]	*[36]	*[36]	false[88]	Decl[88]	*[178]	putzen[178]	transitive[178]	*[178]	*[178]	item0[178]	18[263]	female[263]	4qae3ph27q5gbjcsrgnltv8qld[263]	speaker: YOU[348]	*->30-1	DefNP[30]	_	_	_	
14-4	300-305	Küche	GFailure[3]	putzen\_set1\_1[3]	latin3[3]	4qae3ph27q5gbjcsrgnltv8qld-putzen\_set1\_1[3]	*[36]	*[36]	object[36]	*[36]	*[36]	false[88]	Decl[88]	*[178]	putzen[178]	transitive[178]	*[178]	*[178]	item0[178]	18[263]	female[263]	4qae3ph27q5gbjcsrgnltv8qld[263]	speaker: YOU[348]	*->30-1	DefNP[30]	_	_	_	
14-5	306-313	geputzt	GFailure[3]	putzen\_set1\_1[3]	latin3[3]	4qae3ph27q5gbjcsrgnltv8qld-putzen\_set1\_1[3]	_	_	_	_	_	false[88]	Decl[88]	*[178]	putzen[178]	transitive[178]	*[178]	*[178]	item0[178]	18[263]	female[263]	4qae3ph27q5gbjcsrgnltv8qld[263]	speaker: YOU[348]	_	_	_	_	_	

#Text=Hm?
15-1	315-318	Hm?	GFailure[3]	putzen\_set1\_1[3]	latin3[3]	4qae3ph27q5gbjcsrgnltv8qld-putzen\_set1\_1[3]	_	_	_	_	_	false	NA	hm\_question\_4	*	*	*	*	feedback	*	female	*	speaker:Alexandra	_	_	_	_	_	

#Text=sie war ganz dreckig
16-1	320-323	sie	GFailure[3]	putzen\_set1\_1[3]	latin3[3]	4qae3ph27q5gbjcsrgnltv8qld-putzen\_set1\_1[3]	3	*	Subj	*	singular	false[89]	Decl[89]	*[179]	*[179]	*[179]	*[179]	*[179]	input1[179]	18[264]	female[264]	4qae3ph27q5gbjcsrgnltv8qld[264]	speaker: YOU[349]	*->30-2	PerPron[30]	explanation	*	17-1[90_89]	
16-2	324-327	war	GFailure[3]	putzen\_set1\_1[3]	latin3[3]	4qae3ph27q5gbjcsrgnltv8qld-putzen\_set1\_1[3]	_	_	_	_	_	false[89]	Decl[89]	*[179]	*[179]	*[179]	*[179]	*[179]	input1[179]	18[264]	female[264]	4qae3ph27q5gbjcsrgnltv8qld[264]	speaker: YOU[349]	_	_	_	_	_	
16-3	328-332	ganz	GFailure[3]	putzen\_set1\_1[3]	latin3[3]	4qae3ph27q5gbjcsrgnltv8qld-putzen\_set1\_1[3]	_	_	_	_	_	false[89]	Decl[89]	*[179]	*[179]	*[179]	*[179]	*[179]	input1[179]	18[264]	female[264]	4qae3ph27q5gbjcsrgnltv8qld[264]	speaker: YOU[349]	_	_	_	_	_	
16-4	333-340	dreckig	GFailure[3]	putzen\_set1\_1[3]	latin3[3]	4qae3ph27q5gbjcsrgnltv8qld-putzen\_set1\_1[3]	_	_	_	_	_	false[89]	Decl[89]	*[179]	*[179]	*[179]	*[179]	*[179]	input1[179]	18[264]	female[264]	4qae3ph27q5gbjcsrgnltv8qld[264]	speaker: YOU[349]	_	_	_	_	_	

#Text=nachdem sie focaccia gemacht hat
17-1	342-349	nachdem	GFailure[3]	putzen\_set1\_1[3]	latin3[3]	4qae3ph27q5gbjcsrgnltv8qld-putzen\_set1\_1[3]	_	_	_	_	_	false[90]	NA[90]	*[180]	*[180]	*[180]	*[180]	*[180]	input2[180]	18[265]	female[265]	4qae3ph27q5gbjcsrgnltv8qld[265]	speaker: YOU[350]	_	_	_	_	_	
17-2	350-353	sie	GFailure[3]	putzen\_set1\_1[3]	latin3[3]	4qae3ph27q5gbjcsrgnltv8qld-putzen\_set1\_1[3]	3	*	Subj	*	singular	false[90]	NA[90]	*[180]	*[180]	*[180]	*[180]	*[180]	input2[180]	18[265]	female[265]	4qae3ph27q5gbjcsrgnltv8qld[265]	speaker: YOU[350]	*->105-2	PerPron[105]	_	_	_	
17-3	354-362	focaccia	GFailure[3]	putzen\_set1\_1[3]	latin3[3]	4qae3ph27q5gbjcsrgnltv8qld-putzen\_set1\_1[3]	*	*	DirObj	*	*	false[90]	NA[90]	*[180]	*[180]	*[180]	*[180]	*[180]	input2[180]	18[265]	female[265]	4qae3ph27q5gbjcsrgnltv8qld[265]	speaker: YOU[350]	*->19-1	IndefNP[19]	_	_	_	
17-4	363-370	gemacht	GFailure[3]	putzen\_set1\_1[3]	latin3[3]	4qae3ph27q5gbjcsrgnltv8qld-putzen\_set1\_1[3]	_	_	_	_	_	false[90]	NA[90]	*[180]	*[180]	*[180]	*[180]	*[180]	input2[180]	18[265]	female[265]	4qae3ph27q5gbjcsrgnltv8qld[265]	speaker: YOU[350]	_	_	_	_	_	
17-5	371-374	hat	GFailure[3]	putzen\_set1\_1[3]	latin3[3]	4qae3ph27q5gbjcsrgnltv8qld-putzen\_set1\_1[3]	_	_	_	_	_	false[90]	NA[90]	*[180]	*[180]	*[180]	*[180]	*[180]	input2[180]	18[265]	female[265]	4qae3ph27q5gbjcsrgnltv8qld[265]	speaker: YOU[350]	_	_	_	_	_	

#Text=END_OF_DOCUMENT
18-1	376-391	END_OF_DOCUMENT	GFailure[3]	putzen\_set1\_1[3]	latin3[3]	4qae3ph27q5gbjcsrgnltv8qld-putzen\_set1\_1[3]	_	_	_	_	_	_	_	*	*	*	*	*	end	*	*	*	*	_	_	_	_	_	

#Text=Na?
19-1	393-396	Na?	GFailure[4]	putzen\_set1\_1[4]	latin3[4]	f28ipql67ma8cbjqke6k374ach-putzen\_set1\_1[4]	_	_	_	_	_	false	Int	*	*	*	gen\_1	general\_question	openq	*	female	*	speaker:Alexandra	_	_	QAP	*	20-1[91_0]	

#Text=Lena hat die Küche geputzt
20-1	398-402	Lena	GFailure[4]	putzen\_set1\_1[4]	latin3[4]	f28ipql67ma8cbjqke6k374ach-putzen\_set1\_1[4]	*	*	Subj	*	*	false[91]	Decl[91]	*[181]	putzen[181]	transitive[181]	*[181]	*[181]	item0[181]	19[266]	male[266]	f28ipql67ma8cbjqke6k374ach[266]	speaker: YOU[351]	*->58-1	PropNm[58]	elaboration|CR	*|*	22-1[0_91]|21-1[0_91]	
20-2	403-406	hat	GFailure[4]	putzen\_set1\_1[4]	latin3[4]	f28ipql67ma8cbjqke6k374ach-putzen\_set1\_1[4]	_	_	_	_	_	false[91]	Decl[91]	*[181]	putzen[181]	transitive[181]	*[181]	*[181]	item0[181]	19[266]	male[266]	f28ipql67ma8cbjqke6k374ach[266]	speaker: YOU[351]	*->114-1	clause[114]	_	_	_	
20-3	407-410	die	GFailure[4]	putzen\_set1\_1[4]	latin3[4]	f28ipql67ma8cbjqke6k374ach-putzen\_set1\_1[4]	*[37]	*[37]	object[37]	*[37]	*[37]	false[91]	Decl[91]	*[181]	putzen[181]	transitive[181]	*[181]	*[181]	item0[181]	19[266]	male[266]	f28ipql67ma8cbjqke6k374ach[266]	speaker: YOU[351]	*->114-1|*->29-1	clause[114]|DefNP[29]	_	_	_	
